system:index,CLASS_2016,CLASS_2017,CLASS_2018,CLASS_2019,CLASS_2020,CLASS_2021,CLASS_2022,CLASS_2023,LAT,LON,PESO_AMOS,bacia,classification_2016,classification_2017,classification_2018,classification_2019,classification_2020,classification_2021,classification_2022,classification_2023,classification_2024,classification_2025,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000014a_0,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,-13.48541706,-43.7394585,"98580,8000000005",765,4,29,29,29,29,29,3,29,33,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.73955508871418,-13.485374297909638]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000014d_0,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,-14.21116598,-44.42882565,"99626,9935483871",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.4289222377475,-14.2111232159498]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000014e_0,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,-14.25859703,-42.8234464,54600,765,4,4,4,12,12,12,12,12,12,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.823542993497504,-14.25855426295131]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000c45_0,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,-14.46610786,-43.62276734,"100085,333333333",765,4,29,29,29,29,4,3,12,12,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.62286393330705,-14.466065093582921]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000001b3f_0,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,-13.92792717,-42.84743142,"98845,0804195803",765,4,4,4,4,4,4,21,21,4,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.84752801158349,-13.927884406866916]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000014_0,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,-13.24556688,-43.60686716,"98580,8000000005",765,21,21,21,21,21,21,21,3,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.606963752778135,-13.245524117049728]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000000e6_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-13.61046255,-43.27080741,"98845,0804195803",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.27090400498903,-13.610419785459076]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001ab_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-13.93520353,-43.69849532,"98845,0804195803",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.69859191175833,-13.935160760668284]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001b1_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,,-13.67945317,-43.97257131,"98580,8000000005",765,3,4,4,4,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.972667904943194,-13.679410399279456]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001b4_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,,-13.66166652,-43.9084316,"98580,8000000005",765,3,4,4,3,4,4,4,4,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.90852819365706,-13.661623756653889]}"
