savi_median_wet,avi_median_dry,savi_median,cvi_median_wet,ri_median_wet,classe,year,avi_median_wet,avi_median,Longitude,cvi_median_dry,class,ri_median_dry,Latitude,cvi_median,savi_median_dry,ri_median
,0,,36074,15473,0.0,2016.0,0,0,-38.89372568149277,32841,3,14795,-12.909116545289223,33935,,15052
,0,,40484,15967,0.0,2016.0,0,0,-38.89596559442162,31991,3,15077,-12.909986734706903,39187,,15907
,0,,43736,16019,0.0,2016.0,0,0,-38.949961072408975,35078,3,15646,-13.180310074311004,39191,,16019
,0,,38885,15736,0.0,2016.0,0,0,-38.92007892225076,36810,3,15203,-13.154903305382986,40432,,15442
,0,,45034,16302,0.0,2016.0,0,0,-38.93130325320922,31997,3,14925,-13.156721505813264,35916,,15781
,0,,36454,15676,0.0,2016.0,0,0,-39.00631182527609,38041,3,15586,-13.20096143080691,37283,,15628
,0,,44617,16153,0.0,2016.0,0,0,-39.05073287907848,37641,3,15793,-13.218670403348579,44414,,16057
,0,,36101,15116,0.0,2016.0,0,0,-38.92810435003567,32309,3,15095,-12.927907485425393,36101,,15116
,0,,39286,15419,0.0,2016.0,0,0,-39.18144059980873,30474,3,14952,-13.247802119038457,34740,,15214
,0,,41062,15895,0.0,2016.0,0,0,-38.96631958179274,41053,3,15894,-12.926741685542185,41053,,15894
,0,,41464,15854,0.0,2016.0,0,0,-39.175053786643275,41464,3,15854,-13.139023826123482,41464,,15854
,0,,41175,15317,0.0,2016.0,0,0,-39.17465416929974,37564,3,15076,-13.23882832732747,39254,,15195
,0,,41262,15522,0.0,2016.0,0,0,-39.06259228179189,34646,3,14784,-13.135005388872822,37747,,15166
,0,,40790,15127,0.0,2016.0,0,0,-39.130801167566375,38370,3,14973,-13.180466581692851,39539,,15049
,0,,37341,14922,0.0,2016.0,0,0,-39.11642695682586,29765,3,13537,-13.21806319466214,33495,,14298
,0,,40203,16037,0.0,2016.0,0,0,-39.4659291553049,40203,3,16037,-12.898344470218756,40203,,16037
,0,,39807,16000,0.0,2016.0,0,0,-39.47129585926471,40698,3,15893,-12.959990416062375,40270,,15946
,0,,47572,16323,0.0,2016.0,0,0,-39.65799790730982,35039,3,15015,-13.08436803097556,42526,,15782
,0,,40096,16002,0.0,2016.0,0,0,-39.557570584187665,29065,3,13257,-13.247802110558228,33839,,14609
,0,,34576,15196,0.0,2016.0,0,0,-39.296208896265114,18621,3,12630,-13.154903280706817,34097,,15240
,0,,35035,15120,0.0,2016.0,0,0,-39.76225350826422,17061,3,11593,-13.164557815428209,24986,,14247
,0,,27348,14154,0.0,2016.0,0,0,-40.008981018349075,27258,3,13941,-12.94173749579961,26925,,14053
,0,,41352,15608,0.0,2016.0,0,0,-39.75411588248772,21929,3,13309,-13.217373948324672,30938,,14584
,0,,37815,15532,0.0,2016.0,0,0,-39.79166154524312,24246,3,13583,-13.180462907779436,32772,,15150
,0,,30538,14529,0.0,2016.0,0,0,-39.892955719729784,25803,3,13656,-12.973340932200434,29698,,14213
,0,,39584,15883,0.0,2016.0,0,0,-39.82416534869853,32774,3,15277,-13.176554953102292,36098,,15751
,0,,36857,15179,0.0,2016.0,0,0,-39.83249440512248,25252,3,13864,-13.198339466856687,33949,,15051
,0,,39328,15454,0.0,2016.0,0,0,-39.73682131792667,29061,3,14111,-13.051128190655403,35125,,15010
,0,,35768,15455,0.0,2016.0,0,0,-39.73408989629241,32182,3,15062,-13.05414072725745,33679,,15210
,0,,39460,15541,0.0,2016.0,0,0,-39.84463849939235,28524,3,14147,-13.234223495959286,36655,,15206
,0,,45338,16194,0.0,2016.0,0,0,-39.66196801811347,29430,3,14706,-13.228935910561347,37592,,15576
,0,,36008,15012,0.0,2016.0,0,0,-39.89434989891012,30511,3,14389,-13.238836329962526,33557,,14706
,0,,39257,15296,0.0,2016.0,0,0,-39.66709450053277,28686,3,14086,-13.063453845131145,36065,,15219
,0,,37384,15049,0.0,2016.0,0,0,-39.819789556180986,32368,3,14985,-13.265291936749025,34961,,15085
,0,,34320,15009,0.0,2016.0,0,0,-39.94441730903895,29918,3,14457,-13.156755100826723,31745,,14845
,0,,37745,15007,0.0,2016.0,0,0,-39.97942907965953,28755,3,14002,-13.185106761903254,35934,,14813
,0,,37067,14896,0.0,2016.0,0,0,-39.777220027483004,26909,3,13706,-13.186624028479688,30270,,14360
,0,,34807,14681,0.0,2016.0,0,0,-39.687839721720046,33416,3,14517,-13.200927249369103,32566,,14533
,0,,37908,15328,0.0,2016.0,0,0,-39.74792176850622,36404,3,15201,-12.926754467637004,33216,,14889
,0,,35350,14854,0.0,2016.0,0,0,-39.986023846045875,32444,3,14528,-13.186614229404057,33920,,14777
,0,,32798,14536,1.0,2016.0,0,0,-39.66742953116701,24508,4,12953,-12.986327657447161,26487,,13584
,0,,43221,15348,1.0,2016.0,0,0,-39.722044734398,25952,4,12628,-13.23889351228618,30721,,13776
,0,,26122,13550,1.0,2016.0,0,0,-39.80552069584316,25862,4,13133,-12.994456718888772,25833,,13290
,0,,27331,13649,1.0,2016.0,0,0,-39.81231726836885,26038,4,13441,-12.981356327679292,26140,,13473
,0,,28038,13682,1.0,2016.0,0,0,-39.9607565103813,21897,4,12420,-12.981250321715645,23850,,12938
,0,,28238,13396,1.0,2016.0,0,0,-39.91018610700285,23627,4,12571,-13.247808942449803,25792,,12987
,0,,22678,13215,1.0,2016.0,0,0,-40.00766473663941,28528,4,13660,-13.057664710078495,26042,,13457
